Settings,Description,Default,Values
fieldWidth,"Width, in characters, of the field when displayed in a user interface.",60,Integers greater than zero
fieldHeight,"Height, in characters, of the field when displayed in a user interface.",1,Integers greater than zero
mustNotBeBlank,"Use this option if this attribute value must be set to some value, if, in other words, it must not be blank.",0 (can be blank),0 or 1
doesNotTakeLocale,Defines whether element takes locale specification.,1 (does not take locale specifications),0 or 1
canBeEmpty,Use this option if you want to allow empty attribute values. This -- of course -- only makes sense if you bundle several elements in a container.,0,0 or 1
canBeUsedInSort,Use this option if this attribute value can be used for sorting of search results.,0 (not used in sort),0 or 1
canBeUsedInSearchForm,Use this option if the attribute value can be used in search forms.,1 (used in search forms),0 or 1
canBeUsedInDisplay,Use this option if the attribute value can be used for display in search results.,1 (used for display),0 or 1
displayTemplate,"Layout for value when used in a display. Element code tags prefixed with the ^ character, used to represent the value in the template. For example: <i>^my_element_code</i>.",,HTML
displayDelimiter,Delimiter to use between multiple values.,", (comma)",Text
