Options,Description,Parameter notes,Example
default,Value to use if data source value is blank,Arbitrary text,"""No value"""
delimiter,Delimiter to used to concatenate repeating values,Usually a single character like a comma or semi-colon,
prefix,Text to prepend to value prior to export,Arbitrary text,Dimensions are:
suffix,Text to append to value prior to export,Arbitrary text,feet
template,Format exported value with provided template. Template may include caret (^) prefixed placeholders that refer to data source values.,See the [Bundle_Display_Templates] article for details on the syntax,^height
maxLength,Truncate to specified length if value exceeds that length,Integer,80
repeat_element_for_multiple_values,"Some source values may select multiple values, for instance for repeatable metadata elements. If this is the case and this option is set, the current mapping item is repeated for each value instead of them being put into a single string using the delimiter option",1 or 0. defaults to 0,1
filterByRegExp,Allows filtering values by regular expression. Any value that does NOT match this PCRE regular expression is filtered and not exported,Insert expression without delimiters. Has to be valid expression.,[A-Za-z0-9]+
locale,"Locale code to use to get the field values from the database. If not set, the system/user default is used.",Valid locale code,de_DE
context,"This is used to switch the context for this mapping item (and all hierarchy children) to a different record (usually a set of records). A basic application of this feature is to create a kind of sub-export inside the mapping where you can pull in data from related items or hierarchical descendants. Once the context is switched, the 'source' values for this row and all children are relative to the new context, unless of course it is switched again (you can build cascades). This allows you, for instance, to list all works of the creator of a painting which you're exporting. The context-switched mapping item is always repeated for each record selected by the context switch! See also the 'restrictToTypes', 'restrictToRelationshipTypes' and 'checkAccess' settings to further specify the Note that if the context is switched to a related table, there are a couple of special keys available for the '''source''' column to fetch the type of the relationship between the item in the current context and the item where the context was last switched. These keys are: '''relationship_type_id''', '''relationship_type_code''' and '''relationship_typename'''.
 It is also possible to switch context to an attribute of the current record. This helps properly process repeatable containers as encapsuled sub-exports. If the context is switched to a container like ca_entities.address, all elements of the container are available in the source column for all child mappings. They are addressed by only their code(e.g. ""city""). No table prefix.","Either a related table name like 'ca_entities', a metadata element bundle specifier (ca_entities.address) or one of the literals 'children' or 'parent' for hierarchy traversal.",ca_entities
restrictToTypes,Restricts the context of the mapping to only records of the designated type. Only valid when context setting is set,list of valid type codes,"""restrictToTypes"":[""photograph"", ""other"", ""mixed"", ""text""]"
restrictToRelationshipTypes,Restricts the context of the mapping to only records related with the designated relationship type. Only valid when context is set.,list of valid relationship type codes,"""restrictToRelationshipTypes"":[""creator"", ""depicts""]"
restrictToList,"When exporting related list items, this option restricts the context of the mapping to only list items of the designated list.",list of valid type codes,"""restrictToList"":[""keywords""]"
list,"An alias for the option ""restrictToList""",list of valid type codes,"""list"":[""keywords""]"
checkAccess,Restricts the context of the mapping to only records with one of the designated access values. Only valid when context is set.,List of valid 'access' values,"""checkAccess"": [1, 2]"
omitIfEmpty,"Completely ignores this mapping if the selector doesn't return any value. This is primarily meant for XML exports where you don't want to end up with ugly empty XML elements like <relatedObjects></relatedObjects>. Note: This works differently from the Data Importer Option ""skipIfEmpty""!",Valid bundle specifier,"""omitIfEmpty"": ""ca_objects.description"""
omitIfNotEmpty,Omit this item and all its children if this CollectiveAccess bundle specifier returns a non-empty result. This is useful if you want to specify fallback-sections in your export mapping that are only used if certain data is not available.,Valid bundle specifier,"""omitIfNotEmpty"": ""ca_objects.description"""
convertCodesToDisplayText,"If set, id values refering to foreign keys are returned as preferred label text in the current locale.",0 or 1,"""convertCodesToDisplayText"": 1"
convertCodesToIdno,"(from v1.6.1) If set, id values refering to foreign keys are returned as idno.",0 or 1,"""convertCodesToIdno"": 1"
returnIdno,"If set, idnos are returned for List attribute values instead of primary key values. Should not be combined with convertCodesToDisplayText, as it overrides it and can produce unwanted results. Only applies to List attribute values!",0 or 1,"""returnIdno"": 1"
skipIfExpression,"If the expression yields true, skip the mapping for the data. Note that all user-set variables are available under their identifiers.",arbitrary text,"{ ""skipIfExpression"" : ""^foo!~/49/"" }"
start_as_iso8601,"If you exporting a range of dates, and wish for the start and end dates to be split and exported to separate elements, use this setting to grab the ""start"" date.",0 or 1,"{ ""start_as_iso8601"" : 1 }"
end_as_iso8601,"If you exporting a range of dates, and wish for the start and end dates to be split and exported to separate elements, use this setting to grab the ""end"" date.",0 or 1,"{ ""end_as_iso8601"" : 1 }"
timeOmit,"By default, start_as_iso8601 and end_as_iso8601 will produced the timestamp as well as the date. To omit the time, use timeOmit.",0 or 1,"{ ""timeOmit"": 1 }"
dontReturnValueIfOnSameDayAsStart,This setting will ensure that the end_as_iso8601 will be skipped on single dates (where there is no end date).,0 or 1,"{ ""dontReturnValueIfOnSameDayAsStart"" : 1 }"
sort,Sorts the values returned for a context switch on these fields. Only valid when context is set to a related table. Must always be a list.,List of valid field names for related table,"""sort"" : [ ""ca_entities.preferred_labels.surname"" ]"
