Facet key,Description,Mandatory?
table,"The authority table to browse by (Eg. ca_objects, ca_entities, ca_places, ca_occurrences, ca_collections, ca_storage_locations, ca_list_item)",Yes
relationship_table,"The ""linking table"" between the item type your are browsing for and the authority you are browsing by. For example, if you are browsing for objects by entities this table is ca_objects_x_entities. See the installation profile manual for a full list of these table names.",Yes
restrict_to_types,An optional list of types *for the item you are browsing by* to restrict the facet to. The types can be internal item_ids for the types or ca_list_item.idno values (eg. list item codes set by the installation profile). This key lets you set up facets that only browse a subset of a given authority: only places of type 'river' for instance.,No
restrict_to_relationship_types,An optional list of relationship types to restrict the facet to. The types can be internal relationship type_ids for the relationship types or alphanumeric type codes (eg. type codes set by the installation profile). This key lets you set up facets that only browse a subset of a given authority: only places linked to objects with relation type 'depicts'),No
exclude_relationship_types,An optional list of relationship types to exclude from the facet. The types can be internal relationship type_ids for the relationship types or alphanumeric type codes (eg. type codes set by the installation profile). This key lets you set up facets that only browse a subset of a given authority: only places linked to objects with relation types other than 'depicts'),No
generate_facets_for_types,"If set to a non-zero value, will cause the current facet to be automatically converted into a separate facet for each type of the item type being browsed by. This option is typically employed to provide browsing of occurrences where the various types are unrelated, but you can also use this on other authorities to provide a fine-grained browse without having to hardcode the type hierarchy into the configuration.",No
show_all_when_first_facet,"If set to a non-zero value, will force this facet to include all items in the authority whether than are related to the underlying browse table or not when the browse has no criteria set (ie. when the facet is the first one chosen in the browse). Default is false.",No
order_by_label_fields,A list of fields in authority label table to sort by. You can do multi-level sorting by specifying more than more field in the list. Ascending sort order is assumed. The list should be only field names; do not include the table name,No
group_mode,"The method by which to group facet values for display. Currently 'alphabetical', 'hierarchical' and 'none' groupings are supported. 'Alphabetical' mode groups items alphabetically by the first letter in their name; 'hierarchical' displays hierarchical facets (authorities only) in an interactive hierarchy browser; 'none' simply lists items out.",No
show_hierarchy,Set to non-zero value to display hierarchy on items in this facet; default is to not display hierarchy,No
hierarchical_delimiter,Character(s) to place between elements of the hierarchy,No
remove_first_items,Number of items to trim off the top of the hierarchy (leave blank or set to 0 to trim nothing),No
hierarchy_limit,Maximum length of hierarchy to display (leave blank to return hierarchy unabridged),No
hierarchy_order,Direction to display hierarchy in. Can be ASC or DESC (default is DESC). ASC displays the root first; DESC displays the lowest element in the hierarchy first,No
check_access,Set to non-zero value to only show related items with public access when browsing in Pawtucket. Has no effect in Providence. Default value is to perform access checking.,
