Type of Refinery Parameter,Parameter Notes,Example
loanType,Accepts a constant list item from the list loan_types,"{""loanType"":""out""}"
relationshipType,"Accepts a constant type code for the relationship type or a reference to the location in the data source where the type can be found. Note for object data: if the relationship type matches that which is set as the hierarchy control, the object will be pulled in as a ""child"" element in the loan hierarchy","{""relationshipType"":""part_of""}"
delimiter,"Sets the value of the delimiter to break on, separating data source values","{""delimiter"":"".""}"
attributes,Sets or maps metadata for the loan record by referencing the metadataElement code and the location in the data source where the data values can be found.,"{
   ""attributes"": {
       ""loanDate"": ""^11""
   }
}"
relationshipTypeDefault,Sets the default relationship type that will be used if none are defined or if the data source values do not match any values in the CollectiveAccess system,"{""relationshipTypeDefault"":""part_of""}"
loanTypeDefault,Sets the default loan type that will be used if none are defined or if the data source values do not match any values in the CollectiveAccess list loan_types.,"{""loanTypeDefault"":""in""}"
interstitial,Sets metadata for the Relationship record (between the target of the mapping and the related entity via the splitter),"{
   ""interstitial"": {
       ""relationshipDate"": ""^4""
   }
}"
parents,"Loan parents to create, if required. The parent parameter has several sub-parameters including:

idno: maps the level-specific idno

name: maps the level-specific preferred_label

type: maps the level-specific record type (must match the item idno exactly)

attributes: maps the (optional) level-specific metadata. Includes the metadataElement code and the data source.

rules: maps any (optional) level-specific rules","{
   ""parents"": [
       {
           ""idno"": ""^5"",
           ""name"": ""^6"",
           ""type"": ""in"",
           ""attributes"": {
               ""ca_loans.description"": ""^7""
           }
       }
   ]
}"
relationships,From version 1.5. A list of relationships using the relevant splitter refineries. The settings for this item reflect the settings used for the relevant splitter refinery. The only additional setting here is relatedTable which is a required value.,"{
  ""relationships"" : [
   {
    ""relatedTable"": ""ca_entities"",
    ""type"" : ""ind"",
    ""relationshipType"": ""creator"",
    ""preferredLabel"": ""^7"",
    ""attributes"" : {
     ""notes"" : ""^10""
    }
   },
   {
    ""relatedTable"": ""ca_entities"",
    ""type"" : ""org"",
    ""relationshipType"": ""source"",
    ""preferredLabels"" : [{""forename"": ""^5"", ""surname"":""^6""}],
    ""attributes"" : {
     ""phone"" : ""^33""
    }
   }
  ]
 }"
matchOn,"From version 1.5. Defines exactly how the splitter will establish matches with pre-existing records. You can set the splitter to match on idno, or labels. You can also include both labels and idno in the matchOn parameter, and it will try multiple matches in the order specified.","{“matchOn”: [“labels”, “idno”]} -Will try to match on labels first, then idno.
{“matchOn”: [“idno”, “labels”]} - Will do the opposite, first idno and then labels.
You can also limit matching by doing one or the other. Eg:
{“matchOn”: [“idno”]} will only match on idno.
{""matchOn"": [""^ca_loans.your_custom_code""]} will match on a custom metadata element in the loan record. Use the syntax ^ca_loans.metadataElement code."
ignoreParent,"From version 1.5. For use with loan item hierarchies. When set to true this parameter allows global match across the entire hierarchy, regardless of parent_id. Use this parameter with datasets that include values to be merged into existing hierarchies but that do not include parent information. Paired with matchOn it's possible to merge the values using only name or idno, without any need for hierarchy info. Not ideal for situations where multiple matches can not be disambiguated with the information available.","{""ignoreParent"": ""1""}"
dontCreate,From version 1.5. If set to true (or any non-zero value) the splitter will only do matching and will not create new records when matches are not found.,"{""dontCreate"": ""1""}"
